"Entity","Host","Timestamp","MetricId","Value","Unit"
"zq-wuliu-liping-5.80",,"2014/1/15 6:00:00","cpu.usage.average","3.09","%"
"zq-wuliu-liping-5.80",,"2014/1/15 4:00:00","cpu.usage.average","2.97","%"
"zq-wuliu-liping-5.80",,"2014/1/15 2:00:00","cpu.usage.average","2.98","%"
"zq-wuliu-liping-5.80",,"2014/1/15 0:00:00","cpu.usage.average","3.08","%"
"zq-wuliu-liping-5.80",,"2014/1/14 22:00:00","cpu.usage.average","2.96","%"
"zq-wuliu-liping-5.80",,"2014/1/14 20:00:00","cpu.usage.average","2.92","%"
"zq-wuliu-liping-5.80",,"2014/1/14 18:00:00","cpu.usage.average","3","%"
"zq-wuliu-liping-5.80",,"2014/1/14 16:00:00","cpu.usage.average","3.51","%"
"zq-wuliu-liping-5.80",,"2014/1/14 14:00:00","cpu.usage.average","3.63","%"
"zq-wuliu-liping-5.80",,"2014/1/14 12:00:00","cpu.usage.average","3.57","%"
"zq-wuliu-liping-5.80",,"2014/1/14 10:00:00","cpu.usage.average","3.61","%"
"zq-wuliu-liping-5.80",,"2014/1/14 8:00:00","cpu.usage.average","3.69","%"
"zq-wuliu-liping-5.80",,"2014/1/14 6:00:00","cpu.usage.average","3.8","%"
"zq-wuliu-liping-5.80",,"2014/1/14 4:00:00","cpu.usage.average","3.74","%"
"zq-wuliu-liping-5.80",,"2014/1/14 2:00:00","cpu.usage.average","3.71","%"
"zq-wuliu-liping-5.80",,"2014/1/14 0:00:00","cpu.usage.average","3.77","%"
"zq-wuliu-liping-5.80",,"2014/1/13 22:00:00","cpu.usage.average","4.03","%"
"zq-wuliu-liping-5.80",,"2014/1/13 20:00:00","cpu.usage.average","4.14","%"
"zq-wuliu-liping-5.80",,"2014/1/13 18:00:00","cpu.usage.average","4.14","%"
"zq-wuliu-liping-5.80",,"2014/1/13 16:00:00","cpu.usage.average","4.09","%"
"zq-wuliu-liping-5.80",,"2014/1/13 14:00:00","cpu.usage.average","3.85","%"
"zq-wuliu-liping-5.80",,"2014/1/13 12:00:00","cpu.usage.average","3.41","%"
"zq-wuliu-liping-5.80",,"2014/1/13 10:00:00","cpu.usage.average","3.07","%"
"zq-wuliu-liping-5.80",,"2014/1/13 8:00:00","cpu.usage.average","2.7","%"
"zq-wuliu-liping-5.80",,"2014/1/13 6:00:00","cpu.usage.average","2.64","%"
"zq-wuliu-liping-5.80",,"2014/1/13 4:00:00","cpu.usage.average","2.64","%"
"zq-wuliu-liping-5.80",,"2014/1/13 2:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/13 0:00:00","cpu.usage.average","2.6","%"
"zq-wuliu-liping-5.80",,"2014/1/12 22:00:00","cpu.usage.average","2.57","%"
"zq-wuliu-liping-5.80",,"2014/1/12 20:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/12 18:00:00","cpu.usage.average","2.82","%"
"zq-wuliu-liping-5.80",,"2014/1/12 16:00:00","cpu.usage.average","2.39","%"
"zq-wuliu-liping-5.80",,"2014/1/12 14:00:00","cpu.usage.average","2.41","%"
"zq-wuliu-liping-5.80",,"2014/1/12 12:00:00","cpu.usage.average","2.48","%"
"zq-wuliu-liping-5.80",,"2014/1/12 10:00:00","cpu.usage.average","2.49","%"
"zq-wuliu-liping-5.80",,"2014/1/12 8:00:00","cpu.usage.average","2.58","%"
"zq-wuliu-liping-5.80",,"2014/1/12 6:00:00","cpu.usage.average","2.59","%"
"zq-wuliu-liping-5.80",,"2014/1/12 4:00:00","cpu.usage.average","2.59","%"
"zq-wuliu-liping-5.80",,"2014/1/12 2:00:00","cpu.usage.average","2.66","%"
"zq-wuliu-liping-5.80",,"2014/1/12 0:00:00","cpu.usage.average","2.64","%"
"zq-wuliu-liping-5.80",,"2014/1/11 22:00:00","cpu.usage.average","2.46","%"
"zq-wuliu-liping-5.80",,"2014/1/11 20:00:00","cpu.usage.average","2.56","%"
"zq-wuliu-liping-5.80",,"2014/1/11 18:00:00","cpu.usage.average","2.59","%"
"zq-wuliu-liping-5.80",,"2014/1/11 16:00:00","cpu.usage.average","2.57","%"
"zq-wuliu-liping-5.80",,"2014/1/11 14:00:00","cpu.usage.average","2.52","%"
"zq-wuliu-liping-5.80",,"2014/1/11 12:00:00","cpu.usage.average","2.44","%"
"zq-wuliu-liping-5.80",,"2014/1/11 10:00:00","cpu.usage.average","2.42","%"
"zq-wuliu-liping-5.80",,"2014/1/11 8:00:00","cpu.usage.average","2.66","%"
"zq-wuliu-liping-5.80",,"2014/1/11 6:00:00","cpu.usage.average","2.47","%"
"zq-wuliu-liping-5.80",,"2014/1/11 4:00:00","cpu.usage.average","2.44","%"
"zq-wuliu-liping-5.80",,"2014/1/11 2:00:00","cpu.usage.average","2.52","%"
"zq-wuliu-liping-5.80",,"2014/1/11 0:00:00","cpu.usage.average","2.46","%"
"zq-wuliu-liping-5.80",,"2014/1/10 22:00:00","cpu.usage.average","2.61","%"
"zq-wuliu-liping-5.80",,"2014/1/10 20:00:00","cpu.usage.average","2.69","%"
"zq-wuliu-liping-5.80",,"2014/1/10 18:00:00","cpu.usage.average","2.67","%"
"zq-wuliu-liping-5.80",,"2014/1/10 16:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/10 14:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/10 12:00:00","cpu.usage.average","2.67","%"
"zq-wuliu-liping-5.80",,"2014/1/10 10:00:00","cpu.usage.average","2.66","%"
"zq-wuliu-liping-5.80",,"2014/1/10 8:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/10 6:00:00","cpu.usage.average","2.66","%"
"zq-wuliu-liping-5.80",,"2014/1/10 4:00:00","cpu.usage.average","2.52","%"
"zq-wuliu-liping-5.80",,"2014/1/10 2:00:00","cpu.usage.average","2.62","%"
"zq-wuliu-liping-5.80",,"2014/1/10 0:00:00","cpu.usage.average","2.76","%"
"zq-wuliu-liping-5.80",,"2014/1/9 22:00:00","cpu.usage.average","2.53","%"
"zq-wuliu-liping-5.80",,"2014/1/9 20:00:00","cpu.usage.average","2.63","%"
"zq-wuliu-liping-5.80",,"2014/1/9 18:00:00","cpu.usage.average","2.63","%"
"zq-wuliu-liping-5.80",,"2014/1/9 16:00:00","cpu.usage.average","2.63","%"
"zq-wuliu-liping-5.80",,"2014/1/9 14:00:00","cpu.usage.average","2.61","%"
"zq-wuliu-liping-5.80",,"2014/1/9 12:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/9 10:00:00","cpu.usage.average","2.75","%"
"zq-wuliu-liping-5.80",,"2014/1/9 8:00:00","cpu.usage.average","2.83","%"
"zq-wuliu-liping-5.80",,"2014/1/9 6:00:00","cpu.usage.average","2.8","%"
"zq-wuliu-liping-5.80",,"2014/1/9 4:00:00","cpu.usage.average","2.76","%"
"zq-wuliu-liping-5.80",,"2014/1/9 2:00:00","cpu.usage.average","2.86","%"
"zq-wuliu-liping-5.80",,"2014/1/9 0:00:00","cpu.usage.average","2.8","%"
"zq-wuliu-liping-5.80",,"2014/1/8 22:00:00","cpu.usage.average","2.68","%"
"zq-wuliu-liping-5.80",,"2014/1/8 20:00:00","cpu.usage.average","2.76","%"
"zq-wuliu-liping-5.80",,"2014/1/8 18:00:00","cpu.usage.average","2.71","%"
"zq-wuliu-liping-5.80",,"2014/1/8 16:00:00","cpu.usage.average","2.73","%"
"zq-wuliu-liping-5.80",,"2014/1/8 14:00:00","cpu.usage.average","2.77","%"
"zq-wuliu-liping-5.80",,"2014/1/8 12:00:00","cpu.usage.average","2.73","%"
"zq-wuliu-liping-5.80",,"2014/1/8 10:00:00","cpu.usage.average","2.83","%"
